"filename","cell_no","genotype","stage","foci_count","sd_foci","mean_foci","median_foci","mean_px","median_px","percent_on","sd_px","lone_foci"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_725--_slide01_006-crop-138-SYCP3.jpeg","50","Fancm-/-","pachytene","15","6.67962230940504","6.63157894736842","5","0.0360925294549221","0.0313725490196078","0.257936507936508","0.0221605870063615","23"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_725--_slide01_006-crop-140-SYCP3.jpeg","51","Fancm-/-","pachytene","23","6.21261304497237","6.67857142857143","6","0.0430258719445053","0.0352941176470588","0.679144385026738","0.0320161120978011","5"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_725--_slide01_007-crop-141-SYCP3.jpeg","52","Fancm-/-","pachytene","34","10.0283673221068","11.8974358974359","12","0.0313677782548543","0.0235294117647059","0.568965517241379","0.0337075023642929","5"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_725--_slide01_009-crop-142-SYCP3.jpeg","53","Fancm-/-","pachytene","30","7.39268705291575","12.0769230769231","11","0.0414004516317589","0.0313725490196078","0.600849256900212","0.0429372986448651","9"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_725--_slide01_011-crop-145-SYCP3.jpeg","54","Fancm-/-","pachytene","31","10.3505165276428","14.7272727272727","16","0.0364359147517876","0.0274509803921569","0.580246913580247","0.0501179455633688","13"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_725--_slide01_012-crop-147-SYCP3.jpeg","55","Fancm-/-","pachytene","28","4.33821112413582","7.15151515151515","8","0.0404294281180532","0.0313725490196078","0.694915254237288","0.0356267918163853","5"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_725--_slide01_012-crop-148-SYCP3.jpeg","56","Fancm-/-","pachytene","21","3.22128338813378","7.28","6","0.0491043255122963","0.0431372549019608","0.67032967032967","0.0392579302441559","4"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_725--_slide01_013-crop-150-SYCP3.jpeg","57","Fancm-/-","pachytene","25","4.81966458030708","9.66666666666667","10","0.0414577815907593","0.0352941176470588","0.639498432601881","0.0372454656771638","8"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_725--_slide01_014-crop-152-SYCP3.jpeg","58","Fancm-/-","pachytene","31","5.63024863569094","11.4594594594595","13","0.0379657769473397","0.0313725490196078","0.733490566037736","0.0439267883878989","6"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_725--_slide01_015-crop-153-SYCP3.jpeg","59","Fancm-/-","pachytene","35","9.06978365837665","12.1951219512195","12","0.0525139493488445","0.0431372549019608","0.568","0.0510110484894753","6"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_725--_slide01_016-crop-155-SYCP3.jpeg","60","Fancm-/-","pachytene","39","5.16759522447728","8.97777777777778","8","0.0424349735542291","0.0352941176470588","0.633663366336634","0.0386120937491895","6"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_725--_slide01_018-crop-158-SYCP3.jpeg","61","Fancm-/-","pachytene","34","8.87377610935865","9.5","9","0.036554339135735","0.0313725490196078","0.659147869674185","0.0315059314376898","8"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_725--_slide01_018-crop-159-SYCP3.jpeg","62","Fancm-/-","pachytene","35","11.4052906402231","10.7627118644068","10","0.0294637228345584","0.0235294117647059","0.540157480314961","0.0299515686466936","24"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_725--_slide01_019-crop-160-SYCP3.jpeg","63","Fancm-/-","pachytene","37","8.03189664004484","8.875","6.5","0.043565650001891","0.0352941176470588","0.494969818913481","0.0336425095343412","19"
