"file","genotype","foci_no","foci_per_strand","total_SC_length","total_pixel_distance","foci_location_along","fractional_distance_between_two","pass_fail","foci_location_x","foci_location_y","foci_location_x_line","foci_location_y_line"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3mouse488_SYCP3mouse647_fancm_fvb_x_fancm_bl6_exon2_875--_VT_027-crop-35-SYCP3.jpeg","Fancm-/-","1","2","27.3137084989848","4.41421356237309","9.82842712474619","0.161611652351682","pass","131.666666666667","34.3333333333333","132","34"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3mouse488_SYCP3mouse647_fancm_fvb_x_fancm_bl6_exon2_875--_VT_027-crop-35-SYCP3.jpeg","Fancm-/-","2","2","27.3137084989848","4.41421356237309","14.2426406871193","0.161611652351682","pass","133","38","133","38"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3mouse488_SYCP3mouse647_fancm_fvb_x_fancm_bl6_exon2_876++_VT_002goodone-crop-39-SYCP3.jpeg","Fancm+/+","1","2","37.6274169979695","10.0710678118655","17.4852813742386","0.26765238263389","pass","42","62","41","62"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3mouse488_SYCP3mouse647_fancm_fvb_x_fancm_bl6_exon2_876++_VT_002goodone-crop-39-SYCP3.jpeg","Fancm+/+","2","2","37.6274169979695","10.0710678118655","27.5563491861041","0.26765238263389","pass","33.1428571428571","66.2857142857143","33","67"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3mouse488_SYCP3mouse647_fancm_fvb_x_fancm_bl6_exon2_876++_VT_015-crop-47-SYCP3.jpeg","Fancm+/+","1","2","33.142135623731","11.6568542494924","3.41421356237309","0.35172308694391","pass","43","90.5","41","90"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3mouse488_SYCP3mouse647_fancm_fvb_x_fancm_bl6_exon2_876++_VT_015-crop-47-SYCP3.jpeg","Fancm+/+","2","2","33.142135623731","11.6568542494924","15.0710678118655","0.35172308694391","pass","37.2647058823529","95.8235294117647","36","97"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3mouse488_SYCP3mouse647_fancm_fvb_x_fancm_bl6_exon2_876++_VT_021-crop-64-SYCP3.jpeg","Fancm+/+","1","2","31.7279220613579","4.41421356237309","7.82842712474619","0.139127092969926","pass","42.5","46","42","45"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3mouse488_SYCP3mouse647_fancm_fvb_x_fancm_bl6_exon2_876++_VT_021-crop-64-SYCP3.jpeg","Fancm+/+","2","2","31.7279220613579","4.41421356237309","12.2426406871193","0.139127092969926","pass","46","46.5","46","46"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3mouse488_SYCP3mouse647_fancm_fvb_x_fancm_bl6_exon2_876++_VT_025-crop-70-SYCP3.jpeg","Fancm+/+","1","2","26.3137084989848","2.82842712474619","18.6568542494924","0.107488730630854","pass","42.4","24.6","43","24"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3mouse488_SYCP3mouse647_fancm_fvb_x_fancm_bl6_exon2_876++_VT_025-crop-70-SYCP3.jpeg","Fancm+/+","2","2","26.3137084989848","2.82842712474619","21.4852813742386","0.107488730630854","pass","44","27","45","26"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_724++_slide01_001-crop-77-SYCP3.jpeg","Fancm+/+","1","2","35.3847763108502","21.3137084989848","1","0.602341196444111","pass","87","26.5","88","26"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_724++_slide01_001-crop-77-SYCP3.jpeg","Fancm+/+","2","2","35.3847763108502","21.3137084989848","22.3137084989848","0.602341196444111","pass","71.125","32.75","71","33"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_724++_slide01_006-crop-84-SYCP3.jpeg","Fancm+/+","1","2","47.9705627484771","24.8994949366117","11.4142135623731","0.519057803577718","pass","76.9285714285714","50.8571428571429","77","51"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_724++_slide01_006-crop-84-SYCP3.jpeg","Fancm+/+","2","2","47.9705627484771","24.8994949366117","36.3137084989848","0.519057803577718","pass","70.0666666666667","72.7333333333333","70","73"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_724++_slide01_007-crop-86-SYCP3.jpeg","Fancm+/+","1","2","26.7279220613579","6.82842712474619","4.41421356237309","0.255479161794566","pass","77.75","28.6666666666667","78","29"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_724++_slide01_007-crop-86-SYCP3.jpeg","Fancm+/+","2","2","26.7279220613579","6.82842712474619","11.2426406871193","0.255479161794566","pass","76.3846153846154","34.6153846153846","76","35"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_724++_slide01_008-crop-87-SYCP3.jpeg","Fancm+/+","1","2","41.2132034355964","24.7279220613579","7.24264068711928","0.6","pass","65","26.5","65","27"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_724++_slide01_008-crop-87-SYCP3.jpeg","Fancm+/+","2","2","41.2132034355964","24.7279220613579","31.9705627484771","0.6","pass","86","35","86","34"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_724++_slide01_011-crop-92-SYCP3.jpeg","Fancm+/+","1","2","38.5563491861041","21.8994949366117","2","0.567986736267665","pass","108.875","42.875","109","43"
